title,company,location,date,job_url,job_description
2025 Data Engineer Intern,Caladan,"Singapore, Singapore",2024-10-10,https://www.linkedin.com/jobs/view/4047546008/,"ETL, risk management, go, Python"
AI Engineer Intern – Undergrad,Proofpoint,Singapore,2024-10-09,https://www.linkedin.com/jobs/view/4026411668/,"Go, GCP, spark, go, Python, Hadoop, communication, Spark, AWS"
"Assistant Manager, Data Engineering & IoT Management",Changi Airport Group,"Singapore, Singapore",2024-10-07,https://www.linkedin.com/jobs/view/4039445176/,"Java, Go, lean, jQuery, Python, MySQL, React, PostgreSQL, communication, Angular, AWS"
Associate Software Engineer,Exasoft,"Singapore, Singapore",2024-10-08,https://www.linkedin.com/jobs/view/4045712043/,"OpenShift, Kubernetes, AWS, React"
"Backend Engineer Intern, Ads Data - 2024 Start - Singapore",TikTok,Singapore,2024-10-09,https://www.linkedin.com/jobs/view/3894827283/,"Java, Seo, Python, go, teamwork, SQL, communication"
"Backend Software Engineer (DevOps Platform), Engineering Productivity",TikTok,Singapore,2024-10-08,https://www.linkedin.com/jobs/view/3491510440/,
Backend Software Engineer (Risk Control) - Global E-commerce (Governance Platform),Jobscentral,Singapore,2024-10-08,https://www.linkedin.com/jobs/view/4042961740/,"Java, Go, go, Seo, Python, safe, ios, communication"
"Backend Software Engineer , TikTok Server Arch Platform (Singapore) - 2025 Start",TikTok,Singapore,2024-10-11,https://www.linkedin.com/jobs/view/4013374690/,
Backend Software Engineer - Global E-Commerce (Logistics),Jobscentral,Singapore,2024-10-08,https://www.linkedin.com/jobs/view/4042965630/,"Java, Go, spark, go, Seo, ios, less"
Backend Software Engineer - TikTok Data Ecosystem (Data Lake),TikTok,Singapore,2024-10-08,https://www.linkedin.com/jobs/view/3713361700/,
Backend Software Engineer - TikTok Global Live,TikTok,Singapore,2024-10-08,https://www.linkedin.com/jobs/view/3592065350/,"Java, Go, Seo, Python, go, communication"
Backend Software Engineer - TikTok Search,Jobscentral,Singapore,2024-10-11,https://www.linkedin.com/jobs/view/4045554995/,"Go, go, Seo, ios, less, communication"
"Backend Software Engineer, Global E-Commerce (Logistics)",Jobscentral,Singapore,2024-10-08,https://www.linkedin.com/jobs/view/4042963500/,
"Backend Software Engineer, Global E-commerce (Customer Business)",Jobscentral,Singapore,2024-10-08,https://www.linkedin.com/jobs/view/4042967353/,
"Backend Software Engineer, Global E-commerce (Governance and Experience)",Jobscentral,Singapore,2024-10-08,https://www.linkedin.com/jobs/view/4042962851/,"Java, Go, go, Seo, Python, MySQL, Redis, safe, ios"
"Backend Software Engineer, TikTok Data Ecosystem (Data Lake)",TikTok,Singapore,2024-10-07,https://www.linkedin.com/jobs/view/3713363013/,"Java, go, Seo, Spark, less"
Big Data Developer,PrimeStaff Management Services,"Singapore, Singapore",2024-10-07,https://www.linkedin.com/jobs/view/4042539576/,"agile, Java, Shell scripting, Python, Hadoop, Airflow, Spark, less"
Big Data Development Engineer (Tea) - Data Platform,TikTok,Singapore,2024-10-08,https://www.linkedin.com/jobs/view/3809902252/,"Java, Seo, Python, go, Hadoop, teamwork, Spark, communication"
"Big Data Development Engineer (Tea), Data Platform",TikTok,Singapore,2024-10-08,https://www.linkedin.com/jobs/view/3809565807/,
Big Data Engineer (Libra) - Data Platform,TikTok,Singapore,2024-10-08,https://www.linkedin.com/jobs/view/3809562317/,"ETL, Java, go, Seo, Python, Hadoop, SQL, ios, Spark"
"Big Data Engineer (Recommendation), BytePlus",ByteDance,Singapore,2024-10-07,https://www.linkedin.com/jobs/view/3654451566/,"Java, Agile, Kubernetes, go, Python, ios, Spark"
Big Data Engineer - Data Platform,TikTok,Singapore,2024-10-06,https://www.linkedin.com/jobs/view/4008612944/,"ETL, erp, go, Seo, Hadoop, SQL, Spark"
Big Data Engineer - TikTok Recommendation Architecture,TikTok,Singapore,2024-10-06,https://www.linkedin.com/jobs/view/3596333366/,"Java, Spark, erp, Seo, go, Hadoop, ElasticSearch, Redis, SQL"
Big Data Engineer Intern (TikTok Ecommerce Recommendation Infrastructure) - 2025 Start,TikTok,Singapore,2024-10-06,https://www.linkedin.com/jobs/view/3987998055/,"Java, Go, Spark, Agile, erp, go, Seo, Hadoop, ElasticSearch, Redis, SQL"
Big Data Engineer Intern (TikTok Recommendation Architecture) - 2024,TikTok,Singapore,2024-10-07,https://www.linkedin.com/jobs/view/3807092438/,"Java, Spark, erp, Seo, go, Hadoop, ElasticSearch, Redis, SQL"
"Big Data Engineer, Data Platform - 2025 Start",TikTok,Singapore,2024-10-08,https://www.linkedin.com/jobs/view/4010096729/,"Java, Go, go, Seo, Python, less"
"Big Data Engineer, TikTok",TikTok,Singapore,2024-10-08,https://www.linkedin.com/jobs/view/3632020795/,"ETL, erp, go, Seo, NoSQL, Spark, communication"
"Big Data Engineer, TikTok Ecommerce Recommendation Infrastructure",TikTok,Singapore,2024-10-07,https://www.linkedin.com/jobs/view/3724715699/,
"Computer Science/Data Analyst Intern, People Technology (Jan - Jun/Jul 2025)",Temasek,"Singapore, Singapore",2024-10-11,https://www.linkedin.com/jobs/view/4010465972/,
Contract Data Engineer (2-year contract),Singapore Tourism Board,"Singapore, Singapore",2024-10-10,https://www.linkedin.com/jobs/view/4012115934/,"Go, lean, erp, go, time management, Python, Redis, process improvement, communication, sem, SQL, less, AWS"
Core Performance Software Engineer (C++) - Remote,ClickHouse,Singapore,2024-10-09,https://www.linkedin.com/jobs/view/4020328547/,"Kubernetes, go"
Data Acquisition and System Engineer,Flintex Consulting Pte Ltd,"Singapore, Singapore",2024-10-07,https://www.linkedin.com/jobs/view/4044555372/,"Communication, Docker, Java, Firewall, Python, PostgreSQL, SQL"
Data Analyst,Nicoll Curtin,"Singapore, Singapore",2024-10-09,https://www.linkedin.com/jobs/view/4044652806/,"Power BI, Scrum, Agile, Spark, lean, go, Python, Tableau, SQL, communication, Snowflake"
Data Analyst,Oddle,"Singapore, Singapore",2024-10-11,https://www.linkedin.com/jobs/view/4046143081/,"SQL, Tableau"
"Data Analyst (AWS, PYTHON, PYSPARK)",,"Singapore, Singapore",2024-10-11,https://www.linkedin.com/jobs/view/4045150215/,"ETL, Spark, Python, Tableau, SQL, communication"
Data Analyst - Global Payment - Singapore,ByteDance,Singapore,2024-10-06,https://www.linkedin.com/jobs/view/3973166685/,"Java, Go, Spark, go, risk management, sem, SQL"
Data Analyst - Globalization - Fresh Grad,HoYoverse,Singapore,2024-10-09,https://www.linkedin.com/jobs/view/3921639540/,"go, Seo, teamwork, less, communication"
Data Analyst - Healthcare (ITDG),Synapxe,"Singapore, Singapore",2024-10-10,https://www.linkedin.com/jobs/view/3970761073/,
